新曹支行,姜墩村委会
八里支行,新海村委会
七一桥支行,沙灶村委会
范公支行,梁洼村委会
安丰支行,下灶居委会
富安支行,王桑村委会
富东支行,桥梓居委会
头灶支行,永红村委会
新农支行,新农居委会
弶港支行,弶南居委会
南沈灶支行,常灶村委会
许河支行,腰余村委会
包灶支行,才琴村委会
台东支行,红光居委会
海丰支行,天洋村委会
新东支行,新川村委会
唐新路支行,周洋村委会
溱东支行,开一村委会
时堰支行,红庄村委会
后港支行,港西村委会
台南支行,孔堡村委会
广山支行,仙河村委会
五烈支行,祁刘村委会
